ALIAS,VERSO,CODPERCORSO,CODPRGARCOLINEA,XDA,YDA,XA,YA,FDA_ID,FDA_NOME,FDA_X,FDA_Y,FA_ID,FA_NAME,FA_X,FA_Y,CODARCOFERMATA,CODSEGMENTO
4L,Asc,609,775,759303.38,5037290,759297.33,5037300.82,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21143
4L,Asc,609,775,759297.33,5037300.82,759294.2,5037315.24,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21144
4L,Asc,609,775,759294.2,5037315.24,759290.09,5037334.12,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21145
4L,Asc,609,775,759290.09,5037334.12,759289.7,5037341.79,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21146
4L,Asc,609,775,759289.7,5037341.79,759287.02,5037357.37,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21147
4L,Asc,609,775,759287.02,5037357.37,759284.79,5037373.3,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21148
4L,Asc,609,775,759284.79,5037373.3,759283.47,5037382.48,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21149
4L,Asc,609,775,759283.47,5037382.48,759279.42,5037421.93,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21150
4L,Asc,609,775,759279.42,5037421.93,759274.71,5037460.02,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21151
4L,Asc,609,775,759274.71,5037460.02,759270.89,5037488.13,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21152
4L,Asc,609,775,759270.89,5037488.13,759268.65,5037509.96,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21153
4L,Asc,609,775,759268.65,5037509.96,759270.92,5037540.44,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21154
4L,Asc,609,775,759270.92,5037540.44,759269.32,5037559.82,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21155
4L,Asc,609,775,759269.32,5037559.82,759263.85,5037578.75,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21156
4L,Asc,609,775,759263.85,5037578.75,759253.59,5037612.26,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21157
4L,Asc,609,775,759253.59,5037612.26,759246.07,5037633.24,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21158
4L,Asc,609,775,759246.07,5037633.24,759236.94,5037649.89,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21159
4L,Asc,609,775,759236.94,5037649.89,759221.9,5037677.02,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21160
4L,Asc,609,775,759221.9,5037677.02,759199.47,5037700.07,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21161
4L,Asc,609,775,759199.47,5037700.07,759188.17,5037711.73,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21162
4L,Asc,609,775,759188.17,5037711.73,759179.06,5037719.82,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21163
4L,Asc,609,775,759179.06,5037719.82,759162.04,5037733.59,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21164
4L,Asc,609,775,759162.04,5037733.59,758897.68,5037932.57,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21165
4L,Asc,609,775,758897.68,5037932.57,758880.43,5037948.33,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21166
4L,Asc,609,775,758880.43,5037948.33,758859.47,5037972.05,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21167
4L,Asc,609,775,758859.47,5037972.05,758854.21,5037977.96,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21168
4L,Asc,609,775,758854.21,5037977.96,758723.81,5038078.08,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21169
4L,Asc,609,775,758723.81,5038078.08,758618.91,5038154.34,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21170
4L,Asc,609,775,758618.91,5038154.34,758569.74,5038190.14,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21171
4L,Asc,609,775,758569.74,5038190.14,758271.86,5038406.91,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21172
4L,Asc,609,775,758271.86,5038406.91,757577.31,5038920.88,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21173
4L,Asc,609,775,757577.31,5038920.88,757089.12,5039280.91,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21174
4L,Asc,609,775,757089.12,5039280.91,756568.99,5039662.8,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21175
4L,Asc,609,775,756568.99,5039662.8,756458.22,5039742.73,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21176
4L,Asc,609,775,756458.22,5039742.73,756419.77,5039769.54,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21177
4L,Asc,609,775,756419.77,5039769.54,756378.5,5039798.35,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21178
4L,Asc,609,775,756378.5,5039798.35,756330.87,5039829.34,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21179
4L,Asc,609,775,756330.87,5039829.34,756296.63,5039847.08,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21180
4L,Asc,609,775,756296.63,5039847.08,756253.3,5039874.58,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21181
4L,Asc,609,775,756253.3,5039874.58,756197.66,5039913.92,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21182
4L,Asc,609,775,756197.66,5039913.92,756158.6,5039942.38,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21183
4L,Asc,609,775,756158.6,5039942.38,756110.66,5039971.58,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21184
4L,Asc,609,775,756110.66,5039971.58,756085.26,5039989.57,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21185
4L,Asc,609,775,756085.26,5039989.57,756036.54,5040018.74,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21186
4L,Asc,609,775,756036.54,5040018.74,755936.7,5040078.21,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21187
4L,Asc,609,775,755936.7,5040078.21,755874.61,5040110.73,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21188
4L,Asc,609,775,755874.61,5040110.73,755835.86,5040129.6,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21189
4L,Asc,609,775,755835.86,5040129.6,755821.01,5040136.82,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21190
4L,Asc,609,775,755821.01,5040136.82,755765.67,5040159.26,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21191
4L,Asc,609,775,755765.67,5040159.26,755734.52,5040172.46,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21192
4L,Asc,609,775,755734.52,5040172.46,755719.53,5040178.86,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21193
4L,Asc,609,775,755719.53,5040178.86,755692.17,5040189.32,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21194
4L,Asc,609,775,755692.17,5040189.32,755563.72,5040242.17,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21195
4L,Asc,609,775,755563.72,5040242.17,755539.27,5040250.3,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21196
4L,Asc,609,775,755539.27,5040250.3,755528.51,5040254.87,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21197
4L,Asc,609,775,755528.51,5040254.87,755489.52,5040266.42,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21198
4L,Asc,609,775,755489.52,5040266.42,755324.13,5040307.42,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21199
4L,Asc,609,775,755324.13,5040307.42,755316.86,5040308.92,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21200
4L,Asc,609,775,755316.86,5040308.92,755246.99,5040321.1,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21201
4L,Asc,609,775,755246.99,5040321.1,755230.03,5040324.3,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21202
4L,Asc,609,775,755230.03,5040324.3,755211.75,5040328.9,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21203
4L,Asc,609,775,755211.75,5040328.9,755191.36,5040331.41,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21204
4L,Asc,609,775,755191.36,5040331.41,755160.96,5040337.96,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21205
4L,Asc,609,775,755160.96,5040337.96,755141.73,5040354.02,1392,Liberta' Santa Chiara,759303.38,5037290,1382,Liberta' Righi,755141.73,5040354.02,1186579,21206
4L,Asc,609,775,759582.65,5036997.25,759573.34,5037016.75,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21478
4L,Asc,609,775,759573.34,5037016.75,759570.56,5037017.36,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21479
4L,Asc,609,775,759570.56,5037017.36,759566.74,5037018.28,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21480
4L,Asc,609,775,759566.74,5037018.28,759562.81,5037019.19,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21481
4L,Asc,609,775,759562.81,5037019.19,759559.72,5037022.14,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21482
4L,Asc,609,775,759559.72,5037022.14,759542.41,5037033.64,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21483
4L,Asc,609,775,759542.41,5037033.64,759447.58,5037096.58,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21484
4L,Asc,609,775,759447.58,5037096.58,759439.41,5037104.58,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21485
4L,Asc,609,775,759439.41,5037104.58,759420.72,5037124.63,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21486
4L,Asc,609,775,759420.72,5037124.63,759411.88,5037133.84,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21487
4L,Asc,609,775,759411.88,5037133.84,759400.24,5037146.37,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21488
4L,Asc,609,775,759400.24,5037146.37,759397.85,5037149.19,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21489
4L,Asc,609,775,759397.85,5037149.19,759309.86,5037267.72,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21490
4L,Asc,609,775,759309.86,5037267.72,759303.42,5037279.79,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21491
4L,Asc,609,775,759303.42,5037279.79,759300.28,5037288.67,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21492
4L,Asc,609,775,759300.28,5037288.67,759303.38,5037290,509,VENEZIA,759582.65,5036997.25,1392,Liberta' Santa Chiara,759303.38,5037290,1186584,21493
4L,Asc,609,1155,753532.09,5042548.84,753530.45,5042552.51,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23080
4L,Asc,609,1155,753530.45,5042552.51,753547,5042597.92,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23081
4L,Asc,609,1155,753547,5042597.92,753549.8,5042604.15,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23082
4L,Asc,609,1155,753549.8,5042604.15,753558.07,5042624.3,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23083
4L,Asc,609,1155,753558.07,5042624.3,753571.57,5042658,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23084
4L,Asc,609,1155,753571.57,5042658,753577.32,5042669.95,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23085
4L,Asc,609,1155,753577.32,5042669.95,753581.83,5042679.65,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23086
4L,Asc,609,1155,753581.83,5042679.65,753586.65,5042684.88,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23087
4L,Asc,609,1155,753586.65,5042684.88,753592.85,5042687.17,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23088
4L,Asc,609,1155,753592.85,5042687.17,753599.28,5042687.93,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23089
4L,Asc,609,1155,753599.28,5042687.93,753607,5042687.7,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23090
4L,Asc,609,1155,753607,5042687.7,753631.98,5042668.01,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23091
4L,Asc,609,1155,753631.98,5042668.01,753642.18,5042659.75,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23092
4L,Asc,609,1155,753642.18,5042659.75,753651.98,5042651.59,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23093
4L,Asc,609,1155,753651.98,5042651.59,753656.6,5042647.75,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23094
4L,Asc,609,1155,753656.6,5042647.75,753662.71,5042643.37,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23095
4L,Asc,609,1155,753662.71,5042643.37,753672.97,5042634.33,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23096
4L,Asc,609,1155,753672.97,5042634.33,753683.35,5042624.68,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23097
4L,Asc,609,1155,753683.35,5042624.68,753694.37,5042614.76,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23098
4L,Asc,609,1155,753694.37,5042614.76,753708.55,5042601.48,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23099
4L,Asc,609,1155,753708.55,5042601.48,753727.62,5042580.28,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23100
4L,Asc,609,1155,753727.62,5042580.28,753747.11,5042555.95,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23101
4L,Asc,609,1155,753747.11,5042555.95,753756.36,5042544.71,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23102
4L,Asc,609,1155,753756.36,5042544.71,753773.26,5042523.05,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23103
4L,Asc,609,1155,753773.26,5042523.05,753780.74,5042523.69,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23104
4L,Asc,609,1155,753780.74,5042523.69,753792.06,5042526.49,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23105
4L,Asc,609,1155,753792.06,5042526.49,753797.79,5042529.94,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23106
4L,Asc,609,1155,753797.79,5042529.94,753805.46,5042541.61,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23107
4L,Asc,609,1155,753805.46,5042541.61,753795.14,5042552.76,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23108
4L,Asc,609,1155,753795.14,5042552.76,753778.01,5042573.66,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23109
4L,Asc,609,1155,753778.01,5042573.66,753751.72,5042602.75,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23110
4L,Asc,609,1155,753751.72,5042602.75,753731.81,5042620.75,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23111
4L,Asc,609,1155,753731.81,5042620.75,753699.96,5042647.2,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23112
4L,Asc,609,1155,753699.96,5042647.2,753670.58,5042671.69,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23113
4L,Asc,609,1155,753670.58,5042671.69,753668.5,5042673.45,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23114
4L,Asc,609,1155,753668.5,5042673.45,753655.93,5042684.13,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23115
4L,Asc,609,1155,753655.93,5042684.13,753644.32,5042693.99,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23116
4L,Asc,609,1155,753644.32,5042693.99,753627.02,5042707.58,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23117
4L,Asc,609,1155,753627.02,5042707.58,753620.87,5042712.41,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23118
4L,Asc,609,1155,753620.87,5042712.41,753601.1,5042727.18,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23119
4L,Asc,609,1155,753601.1,5042727.18,753597,5042729.8,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23120
4L,Asc,609,1155,753597,5042729.8,753575.13,5042744.16,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23121
4L,Asc,609,1155,753575.13,5042744.16,753596.31,5042787.08,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23122
4L,Asc,609,1155,753596.31,5042787.08,753607.25,5042809.25,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23123
4L,Asc,609,1155,753607.25,5042809.25,753609.09,5042815.53,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23124
4L,Asc,609,1155,753609.09,5042815.53,753609.17,5042817.09,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23125
4L,Asc,609,1155,753609.17,5042817.09,753608.84,5042819.95,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23126
4L,Asc,609,1155,753608.84,5042819.95,753608.51,5042821.26,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23127
4L,Asc,609,1155,753608.51,5042821.26,753607.37,5042823.38,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23128
4L,Asc,609,1155,753607.37,5042823.38,753602.38,5042827.56,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23129
4L,Asc,609,1155,753602.38,5042827.56,753597.88,5042829.76,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23130
4L,Asc,609,1155,753597.88,5042829.76,753589.59,5042832.54,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23131
4L,Asc,609,1155,753589.59,5042832.54,753575.63,5042837.21,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23132
4L,Asc,609,1155,753575.63,5042837.21,753573.99,5042838.76,13,Corso del Popolo Mestrina,753532.09,5042548.84,384,Mestre Centro B1,753581.84,5042879.86,1186631,23133
